,GP,W,L,WIN%,PTS,OPPPTS
Atlanta Hawks,66,40,26,0.606,6375,6148
Boston Celtics,66,39,27,0.591,6062,5896
Charlotte Bobcats,66,7,59,0.106,5739,6657
Chicago Bulls,66,50,16,0.758,6359,5819
Cleveland Cavaliers,66,21,45,0.318,6140,6615
Dallas Mavericks,66,36,30,0.545,6322,6259
Denver Nuggets,66,38,28,0.576,6872,6682
Detroit Pistons,66,25,41,0.379,5997,6313
Golden State Warriors,66,23,43,0.348,6453,6678
Houston Rockets,66,34,32,0.515,6474,6459
Indiana Pacers,66,42,24,0.636,6449,6231
Los Angeles Clippers,66,40,26,0.606,6438,6269
Los Angeles Lakers,66,41,25,0.621,6422,6328
Memphis Grizzlies,66,41,25,0.621,6269,6136
Miami Heat,66,46,20,0.697,6500,6105
Milwaukee Bucks,66,31,35,0.47,6535,6517
Minnesota Timberwolves,66,26,40,0.394,6464,6609
New Jersey Nets,66,22,44,0.333,6144,6539
New Orleans Hornets,66,21,45,0.318,5916,6164
New York Knicks,66,36,30,0.545,6458,6247
Oklahoma City Thunder,66,47,19,0.712,6802,6398
Orlando Magic,66,37,29,0.561,6215,6163
Philadelphia 76ers,66,35,31,0.53,6180,5900
Phoenix Suns,66,33,33,0.5,6492,6508
Portland Trail Blazers,66,28,38,0.424,6415,6456
Sacramento Kings,66,22,44,0.333,6518,6893
San Antonio Spurs,66,50,16,0.758,6841,6368
Toronto Raptors,66,23,43,0.348,5986,6204
Utah Jazz,66,36,30,0.545,6577,6536
Washington Wizards,66,20,46,0.303,6180,6497
