,GP,W,L,WIN%,PTS,OPPPTS,,,,,,,,,,,,,,,,,,,,,,,,
Atlanta Hawks,82,48,34,0.585,8433,8137,,,,,,,,,,,,,,,,,,,,,,,,
Boston Celtics,82,48,34,0.585,8669,8406,,,,,,,,,,,,,,,,,,,,,,,,
Brooklyn Nets,82,21,61,0.256,8089,8692,,,,,,,,,,,,,,,,,,,,,,,,
Charlotte Hornets,82,48,34,0.585,8479,8256,,,,,,,,,,,,,,,,,,,,,,,,
Chicago Bulls,82,42,40,0.512,8335,8456,,,,,,,,,,,,,,,,,,,,,,,,
Cleveland Cavaliers,82,57,25,0.695,8555,8063,,,,,,,,,,,,,,,,,,,,,,,,
Dallas Mavericks,82,42,40,0.512,8388,8413,,,,,,,,,,,,,,,,,,,,,,,,
Denver Nuggets,82,33,49,0.402,8355,8609,,,,,,,,,,,,,,,,,,,,,,,,
Detroit Pistons,82,44,38,0.537,8361,8311,,,,,,,,,,,,,,,,,,,,,,,,
Golden State Warriors,82,73,9,0.89,9421,8539,,,,,,,,,,,,,,,,,,,,,,,,
Houston Rockets,82,41,41,0.5,8737,8721,,,,,,,,,,,,,,,,,,,,,,,,
Indiana Pacers,82,45,37,0.549,8377,8237,,,,,,,,,,,,,,,,,,,,,,,,
LA Clippers,82,53,29,0.646,8569,8218,,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles Lakers,82,17,65,0.207,7982,8766,,,,,,,,,,,,,,,,,,,,,,,,
Memphis Grizzlies,82,42,40,0.512,8126,8310,,,,,,,,,,,,,,,,,,,,,,,,
Miami Heat,82,48,34,0.585,8204,8069,,,,,,,,,,,,,,,,,,,,,,,,
Milwaukee Bucks,82,33,49,0.402,8122,8465,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota Timberwolves,82,29,53,0.354,8398,8688,,,,,,,,,,,,,,,,,,,,,,,,
New Orleans Pelicans,82,30,52,0.366,8423,8734,,,,,,,,,,,,,,,,,,,,,,,,
New York Knicks,82,32,50,0.39,8065,8289,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma City Thunder,82,55,27,0.671,9038,8441,,,,,,,,,,,,,,,,,,,,,,,,
Orlando Magic,82,35,47,0.427,8369,8502,,,,,,,,,,,,,,,,,,,,,,,,
Philadelphia 76ers,82,10,72,0.122,7988,8827,,,,,,,,,,,,,,,,,,,,,,,,
Phoenix Suns,82,23,59,0.28,8271,8817,,,,,,,,,,,,,,,,,,,,,,,,
Portland Trail Blazers,82,44,38,0.537,8622,8554,,,,,,,,,,,,,,,,,,,,,,,,
Sacramento Kings,82,33,49,0.402,8740,8943,,,,,,,,,,,,,,,,,,,,,,,,
San Antonio Spurs,82,67,15,0.817,8490,7618,,,,,,,,,,,,,,,,,,,,,,,,
Toronto Raptors,82,56,26,0.683,8422,8053,,,,,,,,,,,,,,,,,,,,,,,,
Utah Jazz,82,40,42,0.488,8010,7863,,,,,,,,,,,,,,,,,,,,,,,,
Washington Wizards,82,41,41,0.5,8534,8575,,,,,,,,,,,,,,,,,,,,,,,,
