,GP,W,L,WIN%,PTS,OPPPTS
Atlanta Hawks,82,44,38,0.537,8032,7999
Boston Celtics,81,41,40,0.506,7818,7836
Brooklyn Nets,82,49,33,0.598,7944,7798
Charlotte Bobcats,82,21,61,0.256,7661,8418
Chicago Bulls,82,45,37,0.549,7641,7615
Cleveland Cavaliers,82,24,58,0.293,7913,8297
Dallas Mavericks,82,41,41,0.5,8293,8342
Denver Nuggets,82,57,25,0.695,8704,8287
Detroit Pistons,82,29,53,0.354,7778,8105
Golden State Warriors,82,47,35,0.573,8296,8223
Houston Rockets,82,45,37,0.549,8688,8403
Indiana Pacers,81,49,32,0.605,7674,7348
Los Angeles Clippers,82,56,26,0.683,8289,7760
Los Angeles Lakers,82,45,37,0.549,8381,8286
Memphis Grizzlies,82,56,26,0.683,7659,7319
Miami Heat,82,66,16,0.805,8436,7791
Milwaukee Bucks,82,38,44,0.463,8108,8231
Minnesota Timberwolves,82,31,51,0.378,7851,8045
New Orleans Hornets,82,27,55,0.329,7714,8031
New York Knicks,82,54,28,0.659,8196,7849
Oklahoma City Thunder,82,60,22,0.732,8669,7914
Orlando Magic,82,20,62,0.244,7718,8291
Philadelphia 76ers,82,34,48,0.415,7640,7914
Phoenix Suns,82,25,57,0.305,7805,8335
Portland Trail Blazers,82,33,49,0.402,7995,8255
Sacramento Kings,82,28,54,0.341,8219,8619
San Antonio Spurs,82,58,24,0.707,8448,7923
Toronto Raptors,82,34,48,0.415,7971,8092
Utah Jazz,82,43,39,0.524,8038,8045
Washington Wizards,82,29,53,0.354,7644,7852
