,GP,W,L,WIN%,PTS,OPPPTS
Atlanta Hawks,82,38,44,0.463,8282,8321
Boston Celtics,82,25,57,0.305,7892,8258
Brooklyn Nets,82,44,38,0.537,8079,8161
Charlotte Bobcats,82,43,39,0.524,7942,7960
Chicago Bulls,82,48,34,0.585,7680,7528
Cleveland Cavaliers,82,33,49,0.402,8054,8324
Dallas Mavericks,82,49,33,0.598,8597,8400
Denver Nuggets,82,36,46,0.439,8559,8735
Detroit Pistons,82,29,53,0.354,8286,8586
Golden State Warriors,82,51,31,0.622,8549,8155
Houston Rockets,82,54,28,0.659,8829,8455
Indiana Pacers,82,56,26,0.683,7933,7572
Los Angeles Clippers,82,57,25,0.695,8850,8278
Los Angeles Lakers,82,27,55,0.329,8442,8958
Memphis Grizzlies,82,50,32,0.61,7884,7755
Miami Heat,82,54,28,0.659,8380,7990
Milwaukee Bucks,82,15,67,0.183,7829,8500
Minnesota Timberwolves,82,40,42,0.488,8768,8549
New Orleans Pelicans,82,34,48,0.415,8177,8399
New York Knicks,82,37,45,0.451,8084,8149
Oklahoma City Thunder,82,59,23,0.72,8705,8185
Orlando Magic,82,23,59,0.28,7914,8360
Philadelphia 76ers,82,19,63,0.232,8155,9012
Phoenix Suns,82,48,34,0.585,8629,8413
Portland Trail Blazers,82,54,28,0.659,8753,8426
Sacramento Kings,82,28,54,0.341,8241,8479
San Antonio Spurs,82,62,20,0.756,8639,8006
Toronto Raptors,82,48,34,0.585,8305,8039
Utah Jazz,82,25,57,0.305,7791,8379
Washington Wizards,82,44,38,0.537,8254,8150
