abbr,pts,opp_pts,wins,losses
ATL,114,99,1,0
ATL,104,72,2,0
ATL,106,95,3,0
ATL,116,123,3,1
ATL,92,95,3,2
ATL,112,97,4,2
ATL,110,106,5,2
ATL,115,107,6,2
ATL,117,96,7,2
ATL,93,90,8,2
ATL,107,100,9,2
ATL,96,100,9,3
ATL,94,104,9,4
ATL,94,112,9,5
ATL,96,85,10,5
ATL,68,95,10,6
ATL,94,109,10,7
ATL,100,105,10,8
ATL,107,109,10,9
ATL,85,121,10,10
ATL,84,128,10,11
ATL,99,102,10,12
ATL,103,95,11,12
ATL,114,110,12,12
ATL,120,131,12,13
ATL,125,121,13,13
ATL,99,107,13,14
ATL,110,108,14,14
ATL,84,92,14,15
ATL,109,108,15,15
ATL,90,104,15,16
ATL,102,98,16,16
ATL,105,98,17,16
ATL,114,112,18,16
ATL,111,92,19,16
ATL,99,94,20,16
ATL,97,82,21,16
ATL,117,97,22,16
ATL,101,103,22,17
ATL,111,98,23,17
ATL,108,107,24,17
ATL,95,118,24,18
ATL,102,93,25,18
ATL,110,93,26,18
ATL,105,115,26,19
ATL,119,114,27,19
ATL,86,112,27,20
ATL,142,139,28,20
ATL,93,116,28,21
ATL,113,108,29,21
ATL,113,86,30,21
ATL,95,120,30,22
ATL,117,106,31,22
ATL,107,108,31,23
ATL,109,104,32,23
ATL,84,99,32,24
ATL,90,108,32,25
ATL,86,105,32,26
ATL,114,98,33,26
ATL,100,95,34,26
ATL,130,135,34,27
ATL,96,97,34,28
ATL,111,119,34,29
ATL,110,105,35,29
ATL,105,99,36,29
ATL,107,90,37,29
ATL,99,107,37,30
ATL,91,103,37,31
ATL,97,113,37,32
ATL,90,105,37,33
ATL,100,104,37,34
ATL,97,100,37,35
ATL,92,107,37,36
ATL,95,91,38,36
ATL,99,92,39,36
ATL,104,106,39,37
ATL,82,91,39,38
ATL,123,116,40,38
ATL,114,100,41,38
ATL,126,125,42,38
ATL,103,76,43,38
ATL,86,104,43,39
ATL,107,114,0,1
ATL,101,109,0,2
ATL,116,98,1,2
ATL,111,101,2,2
ATL,99,103,2,3
ATL,99,115,2,4
BOS,122,117,1,0
BOS,99,105,1,1
BOS,104,98,2,1
BOS,107,100,3,1
BOS,122,128,3,2
BOS,107,123,3,3
BOS,93,118,3,4
BOS,115,87,4,4
BOS,105,99,5,4
BOS,105,106,5,5
BOS,90,83,6,5
BOS,88,104,6,6
BOS,94,92,7,6
BOS,99,93,8,6
BOS,111,92,9,6
BOS,103,109,9,7
BOS,112,104,10,7
BOS,114,121,10,8
BOS,97,92,11,8
BOS,107,106,12,8
BOS,106,107,12,9
BOS,117,87,13,9
BOS,94,101,13,10
BOS,96,99,13,11
BOS,101,108,13,12
BOS,96,88,14,12
BOS,105,95,15,12
BOS,112,109,16,12
BOS,109,102,17,12
BOS,112,117,17,13
BOS,119,114,18,13
BOS,113,103,19,13
BOS,118,124,19,14
BOS,117,114,20,14
BOS,115,104,21,14
BOS,110,106,22,14
BOS,117,108,23,14
BOS,106,114,23,15
BOS,117,108,24,15
BOS,103,101,25,15
BOS,108,98,26,15
BOS,106,117,26,16
BOS,123,127,26,17
BOS,108,123,26,18
BOS,120,109,27,18
BOS,128,98,28,18
BOS,112,108,29,18
BOS,113,109,30,18
BOS,109,104,31,18
BOS,113,107,32,18
BOS,107,102,33,18
BOS,92,108,33,19
BOS,120,111,34,19
BOS,112,104,35,19
BOS,111,98,36,19
BOS,116,108,37,19
BOS,103,104,37,20
BOS,97,107,37,21
BOS,104,98,38,21
BOS,98,114,38,22
BOS,103,99,39,22
BOS,115,95,40,22
BOS,106,109,40,23
BOS,102,116,40,24
BOS,99,86,41,24
BOS,99,119,41,25
BOS,100,80,42,25
BOS,117,104,43,25
BOS,98,95,44,25
BOS,99,105,44,26
BOS,110,102,45,26
BOS,109,100,46,26
BOS,130,120,47,26
BOS,112,108,48,26
BOS,100,103,48,27
BOS,117,116,49,27
BOS,110,94,50,27
BOS,91,114,50,28
BOS,116,123,50,29
BOS,121,114,51,29
BOS,114,105,52,29
BOS,112,94,53,29
BOS,102,106,0,1
BOS,97,111,0,2
BOS,104,87,1,2
BOS,104,95,2,2
BOS,108,97,3,2
BOS,105,83,4,2
BOS,123,111,5,2
BOS,129,119,6,2
BOS,89,116,6,3
BOS,102,121,6,4
BOS,123,101,7,4
BOS,91,92,7,5
BOS,115,105,8,5
BOS,104,117,8,6
BOS,86,130,8,7
BOS,111,108,9,7
BOS,99,112,9,8
BOS,102,135,9,9
BRK,117,122,0,1
BRK,103,94,1,1
BRK,108,110,1,2
BRK,88,118,1,3
BRK,109,101,2,3
BRK,95,99,2,4
BRK,119,110,3,4
BRK,96,110,3,5
BRK,122,104,4,5
BRK,95,127,4,6
BRK,118,125,4,7
BRK,105,124,4,8
BRK,109,129,4,9
BRK,92,111,4,10
BRK,97,118,4,11
BRK,105,122,4,12
BRK,127,122,5,12
BRK,93,111,5,13
BRK,103,112,5,14
BRK,113,118,5,15
BRK,116,111,6,15
BRK,101,130,6,16
BRK,118,122,6,17
BRK,107,97,7,17
BRK,111,118,7,18
BRK,107,108,7,19
BRK,104,116,7,20
BRK,101,117,7,21
BRK,99,119,7,22
BRK,120,118,8,22
BRK,99,101,8,23
BRK,95,118,8,24
BRK,89,101,8,25
BRK,109,121,8,26
BRK,108,116,8,27
BRK,95,105,8,28
BRK,97,117,8,29
BRK,95,104,8,30
BRK,113,132,8,31
BRK,112,137,8,32
BRK,109,119,8,33
BRK,143,114,9,33
BRK,105,112,9,34
BRK,86,112,9,35
BRK,106,109,9,36
BRK,116,124,9,37
BRK,109,129,9,38
BRK,96,104,9,39
BRK,90,95,9,40
BRK,97,106,9,41
BRK,95,103,9,42
BRK,107,111,9,43
BRK,110,114,9,44
BRK,99,108,9,45
BRK,103,112,9,46
BRK,125,129,9,47
BRK,109,129,9,48
BRK,95,112,9,49
BRK,109,100,10,49
BRK,97,112,10,50
BRK,116,130,10,51
BRK,122,109,11,51
BRK,105,110,11,52
BRK,96,105,11,53
BRK,120,112,12,53
BRK,104,122,12,54
BRK,121,110,13,54
BRK,95,98,13,55
BRK,104,111,13,56
BRK,98,96,14,56
BRK,126,98,15,56
BRK,108,129,15,57
BRK,107,92,16,57
BRK,101,106,16,58
BRK,89,90,16,59
BRK,121,111,17,59
BRK,91,82,18,59
BRK,141,118,19,59
BRK,107,115,19,60
BRK,107,106,20,60
BRK,105,114,20,61
BRK,73,112,20,62
CHI,105,99,1,0
CHI,118,101,2,0
CHI,118,88,3,0
CHI,100,107,3,1
CHI,104,117,3,2
CHI,94,111,3,3
CHI,112,80,4,3
CHI,107,115,4,4
CHI,98,95,5,4
CHI,106,95,6,4
CHI,113,88,7,4
CHI,85,77,8,4
CHI,95,102,8,5
CHI,118,110,9,5
CHI,107,110,9,6
CHI,105,89,10,6
CHI,90,96,10,7
CHI,111,105,11,7
CHI,82,107,11,8
CHI,110,112,11,9
CHI,91,102,11,10
CHI,95,91,12,10
CHI,105,100,13,10
CHI,94,99,13,11
CHI,97,108,13,12
CHI,69,95,13,13
CHI,113,82,14,13
CHI,97,107,14,14
CHI,91,103,14,15
CHI,100,119,14,16
CHI,90,85,15,16
CHI,101,99,16,16
CHI,101,111,16,17
CHI,96,116,16,18
CHI,118,111,17,18
CHI,106,94,18,18
CHI,123,118,19,18
CHI,94,109,19,19
CHI,99,101,19,20
CHI,89,104,19,21
CHI,107,99,20,21
CHI,108,104,21,21
CHI,98,99,21,22
CHI,93,102,21,23
