abbr,pts,opp_pts,wins,losses
ATL,117,111,1,0
ATL,91,109,1,1
ATL,104,116,1,2
ATL,93,104,1,3
ATL,86,91,1,4
ATL,100,105,1,5
ATL,106,117,1,6
ATL,109,119,1,7
ATL,104,119,1,8
ATL,117,115,2,8
ATL,107,110,2,9
ATL,104,111,2,10
ATL,94,113,2,11
ATL,105,106,2,12
ATL,126,80,3,12
ATL,99,110,3,13
ATL,85,96,3,14
ATL,103,116,3,15
ATL,116,104,4,15
ATL,78,112,4,16
ATL,114,121,4,17
ATL,114,102,5,17
ATL,90,110,5,18
ATL,106,110,5,19
ATL,117,110,6,19
ATL,107,111,6,20
ATL,114,123,6,21
ATL,91,105,6,22
ATL,94,96,6,23
ATL,110,104,7,23
ATL,95,105,7,24
ATL,117,120,7,25
ATL,112,107,8,25
ATL,113,99,9,25
ATL,98,111,9,26
ATL,104,89,10,26
ATL,103,104,10,27
ATL,89,110,10,28
ATL,113,132,10,29
ATL,107,108,10,30
ATL,110,97,11,30
ATL,105,110,11,31
ATL,102,99,12,31
ATL,94,93,13,31
ATL,97,113,13,32
ATL,104,90,14,32
ATL,93,108,14,33
ATL,110,121,14,34
ATL,104,129,14,35
ATL,105,100,15,35
ATL,110,123,15,36
ATL,110,119,15,37
ATL,99,96,16,37
ATL,108,82,17,37
ATL,98,100,17,38
ATL,107,123,17,39
ATL,118,115,18,39
ATL,92,97,18,40
ATL,98,104,18,41
ATL,93,116,18,42
ATL,104,123,18,43
ATL,107,102,19,43
ATL,109,114,19,44
ATL,113,112,20,44
ATL,90,106,20,45
ATL,87,112,20,46
ATL,122,129,20,47
ATL,107,119,20,48
ATL,117,129,20,49
ATL,117,122,20,50
ATL,99,94,21,50
ATL,90,105,21,51
ATL,94,106,21,52
ATL,99,118,21,53
ATL,114,126,21,54
ATL,91,101,21,55
ATL,94,88,22,55
ATL,98,101,22,56
ATL,86,115,22,57
ATL,103,97,23,57
ATL,112,106,24,57
ATL,113,121,24,58
BOS,99,102,0,1
BOS,100,108,0,2
BOS,102,92,1,2
BOS,110,89,2,2
BOS,96,89,3,2
BOS,96,90,4,2
