abbr,pts,opp_pts,wins,losses
ATL,117,100,1,0
ATL,103,99,2,0
ATL,103,105,2,1
ATL,97,112,2,2
ATL,97,106,2,3
ATL,108,100,3,3
ATL,93,113,3,4
ATL,109,121,3,5
ATL,113,124,3,6
ATL,125,121,4,6
ATL,112,128,4,7
ATL,101,150,4,8
ATL,101,122,4,9
ATL,127,135,4,10
ATL,103,128,4,11
ATL,116,119,4,12
ATL,113,125,4,13
ATL,102,111,4,14
ATL,104,105,4,15
ATL,111,158,4,16
ATL,104,79,5,16
ATL,118,130,5,17
ATL,122,107,6,17
ATL,121,135,6,18
ATL,102,136,6,19
ATL,100,110,6,20
ATL,96,101,6,21
ATL,120,143,6,22
ATL,106,111,6,23
ATL,112,122,6,24
ATL,118,121,6,25
ATL,86,112,6,26
ATL,81,116,6,27
ATL,101,93,7,27
ATL,106,109,7,28
ATL,116,111,8,28
ATL,115,123,8,29
ATL,115,122,8,30
ATL,101,111,8,31
ATL,86,108,8,32
ATL,123,110,9,32
ATL,121,120,10,32
ATL,103,136,10,33
ATL,117,122,10,34
ATL,102,95,11,34
ATL,111,140,11,35
ATL,152,133,12,35
ATL,114,130,12,36
ATL,127,117,13,36
ATL,100,123,13,37
ATL,115,123,13,38
ATL,127,120,14,38
ATL,107,112,14,39
ATL,140,135,15,39
ATL,126,135,15,40
ATL,105,127,15,41
ATL,129,124,16,41
ATL,111,107,17,41
ATL,112,129,17,42
ATL,120,130,17,43
ATL,141,118,18,43
ATL,129,117,19,43
ATL,88,127,19,44
ATL,112,118,19,45
ATL,101,118,19,46
ATL,143,138,20,46
ATL,131,136,20,47
BOS,93,107,0,1
BOS,112,106,1,1
BOS,118,95,2,1
BOS,116,105,3,1
BOS,104,102,4,1
BOS,119,113,5,1
BOS,108,87,6,1
BOS,135,115,7,1
BOS,116,106,8,1
BOS,140,133,9,1
BOS,105,100,10,1
BOS,99,100,10,2
BOS,99,85,11,2
BOS,104,107,11,3
BOS,92,96,11,4
BOS,103,102,12,4
BOS,121,110,13,4
BOS,107,112,13,5
BOS,113,104,14,5
BOS,112,93,15,5
BOS,108,95,16,5
BOS,110,88,17,5
BOS,117,122,17,6
BOS,109,115,17,7
BOS,109,103,18,7
BOS,114,93,19,7
BOS,119,93,20,7
BOS,118,102,21,7
BOS,129,117,22,7
BOS,97,113,22,8
BOS,109,92,23,8
BOS,109,106,24,8
BOS,111,104,25,8
BOS,94,99,25,9
BOS,114,129,25,10
BOS,98,109,25,11
BOS,140,105,26,11
BOS,113,101,27,11
BOS,103,116,27,12
BOS,123,128,27,13
BOS,119,123,27,14
BOS,139,107,28,14
BOS,119,95,29,14
BOS,109,98,30,14
BOS,108,123,30,15
BOS,109,101,31,15
BOS,119,104,32,15
BOS,116,95,33,15
BOS,123,115,34,15
BOS,116,100,35,15
BOS,112,107,36,15
BOS,112,111,37,15
BOS,105,116,37,16
BOS,141,133,38,16
BOS,127,117,39,16
BOS,112,114,39,17
BOS,118,106,40,17
BOS,114,103,41,17
BOS,110,111,41,18
BOS,120,129,41,19
BOS,112,106,42,19
BOS,94,99,42,20
BOS,104,105,42,21
BOS,114,111,43,21
BOS,112,119,43,22
BOS,128,124,44,22
BOS,106,112,44,23
BOS,149,115,45,23
BOS,122,100,46,23
BOS,122,119,47,23
BOS,122,107,48,23
BOS,90,96,48,24
BOS,109,101,1,0
BOS,128,101,2,0
BOS,102,94,3,0
BOS,110,106,4,0
BOS,112,94,5,0
BOS,102,99,6,0
BOS,103,104,6,1
BOS,93,100,6,2
BOS,111,89,7,2
BOS,122,125,7,3
BOS,92,87,8,3
BOS,114,117,8,4
BOS,101,106,8,5
BOS,117,106,9,5
BOS,109,112,9,6
BOS,121,108,10,6
BOS,113,125,10,7
BRK,126,127,0,1
BRK,113,109,1,1
BRK,133,134,1,2
BRK,108,118,1,3
BRK,123,116,2,3
BRK,109,113,2,4
BRK,135,125,3,4
BRK,119,115,4,4
BRK,112,138,4,5
BRK,114,119,4,6
BRK,93,101,4,7
BRK,117,111,5,7
BRK,86,115,5,8
BRK,101,91,6,8
BRK,116,97,7,8
BRK,103,101,8,8
BRK,108,106,9,8
BRK,110,121,9,9
BRK,112,107,10,9
BRK,106,109,10,10
BRK,130,118,11,10
BRK,111,104,12,10
BRK,105,102,13,10
BRK,108,113,13,11
BRK,102,110,13,12
BRK,109,89,14,12
BRK,108,101,15,12
BRK,105,118,15,13
BRK,122,112,16,13
BRK,82,94,16,14
BRK,98,108,16,15
BRK,115,122,16,16
BRK,111,123,16,17
BRK,102,121,16,18
BRK,89,101,16,19
BRK,103,111,16,20
BRK,117,113,17,20
BRK,108,86,18,20
BRK,107,118,18,21
BRK,106,117,18,22
BRK,97,117,18,23
BRK,111,117,18,24
BRK,113,128,18,25
BRK,121,111,19,25
BRK,97,110,19,26
BRK,125,115,20,26
BRK,133,118,21,26
BRK,107,113,21,27
BRK,119,97,22,27
BRK,129,88,23,27
BRK,118,119,23,28
BRK,106,105,24,28
BRK,101,91,25,28
BRK,104,112,25,29
BRK,115,86,26,29
BRK,113,115,26,30
BRK,106,110,26,31
BRK,118,141,26,32
BRK,113,116,26,33
BRK,129,120,27,33
BRK,79,118,27,34
BRK,139,120,28,34
BRK,110,107,29,34
BRK,104,102,30,34
BRK,118,128,30,35
BRK,118,110,31,35
BRK,119,116,32,35
BRK,115,149,32,36
BRK,119,106,33,36
BRK,129,120,34,36
BRK,108,96,35,36
BRK,133,134,35,37
BRK,110,134,0,1
BRK,99,104,0,2
BRK,92,117,0,3
BRK,122,150,0,4
CHI,125,126,0,1
CHI,110,102,1,1
CHI,84,108,1,2
CHI,98,105,1,3
CHI,111,117,1,4
CHI,112,106,2,4
CHI,95,108,2,5
CHI,112,118,2,6
CHI,113,93,3,6
CHI,94,117,3,7
CHI,120,102,4,7
CHI,115,124,4,8
CHI,111,117,4,9
CHI,101,115,4,10
CHI,109,89,5,10
CHI,108,116,5,11
CHI,116,115,6,11
CHI,94,117,6,12
CHI,90,104,6,13
CHI,103,107,6,14
CHI,113,106,7,14
CHI,106,99,8,14
CHI,98,100,8,15
CHI,105,110,8,16
CHI,92,93,8,17
CHI,136,102,9,17
CHI,73,83,9,18
CHI,109,106,10,18
CHI,106,109,10,19
CHI,110,109,11,19
CHI,119,107,12,19
CHI,95,103,12,20
CHI,116,81,13,20
CHI,102,123,13,21
CHI,98,102,13,22
CHI,104,111,13,23
CHI,110,118,13,24
CHI,108,123,13,25
CHI,105,116,13,26
CHI,108,99,14,26
CHI,101,113,14,27
CHI,115,106,15,27
CHI,89,100,15,28
CHI,118,116,16,28
CHI,98,111,16,29
CHI,117,110,17,29
CHI,81,98,17,30
CHI,118,106,18,30
CHI,110,109,19,30
CHI,106,115,19,31
CHI,118,133,19,32
CHI,102,129,19,33
CHI,119,125,19,34
CHI,111,118,19,35
CHI,114,126,19,36
CHI,93,103,19,37
CHI,104,112,19,38
CHI,126,117,20,38
CHI,122,124,20,39
CHI,115,125,20,40
CHI,109,107,21,40
CHI,108,115,21,41
CHI,102,108,21,42
CHI,107,110,21,43
CHI,108,103,22,43
CHO,126,125,1,0
CHO,99,121,1,1
CHO,101,120,1,2
CHO,96,111,1,3
CHO,118,111,2,3
CHO,93,87,3,3
CHO,122,120,4,3
CHO,87,108,4,4
CHO,110,115,4,5
CHO,106,114,4,6
CHO,117,119,4,7
CHO,109,106,5,7
CHO,103,102,6,7
CHO,96,132,6,8
CHO,91,101,6,9
CHO,118,125,6,10
CHO,115,116,6,11
CHO,100,117,6,12
CHO,102,101,7,12
CHO,110,107,8,12
CHO,96,137,8,13
CHO,104,109,8,14
CHO,106,91,9,14
CHO,104,111,9,15
CHO,107,122,9,16
CHO,114,107,10,16
CHO,113,108,11,16
CHO,83,73,12,16
CHO,85,107,12,17
CHO,110,102,13,17
CHO,98,100,13,18
CHO,107,114,13,19
CHO,93,119,13,20
CHO,102,104,13,21
CHO,104,117,13,22
CHO,92,109,13,23
