abbr,pts,opp_pts,wins,losses
BRK,101,88,38,44
BRK,92,99,0,1
BRK,91,96,0,2
BRK,91,83,1,2
BRK,120,115,2,2
BRK,97,107,2,3
BRK,87,111,2,4
CHI,104,80,1,0
CHI,108,114,1,1
CHI,106,105,2,1
CHI,98,90,3,1
CHI,95,86,4,1
CHI,118,115,5,1
CHI,101,106,5,2
CHI,102,91,6,2
CHI,100,93,7,2
CHI,90,99,7,3
CHI,105,89,8,3
CHI,88,103,8,4
CHI,87,105,8,5
CHI,97,95,9,5
CHI,109,114,9,6
CHI,109,102,10,6
CHI,102,84,11,6
CHI,129,132,11,7
CHI,102,95,12,7
CHI,102,112,12,8
CHI,105,80,13,8
CHI,115,106,14,8
CHI,93,75,15,8
CHI,86,93,15,9
CHI,103,97,16,9
CHI,103,97,17,9
CHI,129,120,18,9
CHI,99,91,19,9
CHI,113,93,20,9
CHI,107,100,21,9
CHI,92,90,22,9
CHI,82,96,22,10
CHI,106,101,23,10
CHI,109,104,24,10
CHI,114,105,25,10
CHI,77,97,25,11
CHI,86,102,25,12
CHI,95,87,26,12
CHI,114,121,26,13
CHI,99,105,26,14
CHI,119,103,27,14
CHI,99,107,27,15
CHI,94,108,27,16
CHI,104,81,28,16
CHI,102,98,29,16
CHI,84,96,29,17
CHI,113,111,30,17
CHI,118,123,30,18
CHI,93,99,30,19
CHI,90,101,30,20
CHI,107,72,31,20
CHI,98,97,32,20
CHI,104,86,33,20
CHI,113,98,34,20
CHI,91,100,34,21
CHI,112,107,35,21
CHI,87,71,36,21
CHI,86,98,36,22
CHI,96,89,37,22
CHI,86,96,37,23
CHI,97,92,38,23
CHI,108,105,39,23
CHI,84,98,39,24
CHI,105,116,39,25
CHI,91,101,39,26
CHI,104,95,40,26
CHI,91,101,40,27
CHI,100,109,40,28
CHI,103,86,41,28
CHI,108,92,42,28
CHI,91,107,42,29
CHI,98,86,43,29
CHI,116,103,44,29
CHI,111,80,45,29
CHI,91,95,45,30
CHI,88,82,46,30
CHI,94,99,46,31
CHI,103,105,46,32
CHI,89,78,47,32
CHI,114,107,48,32
CHI,113,86,49,32
CHI,91,85,50,32
CHI,103,91,1,0
CHI,91,82,2,0
CHI,113,106,3,0
CHI,90,92,3,1
CHI,88,94,3,2
CHI,120,66,4,2
CHI,99,92,5,2
CHI,91,106,5,3
CHI,99,96,6,3
CHI,84,86,6,4
CHI,101,106,6,5
CHI,73,94,6,6
CHO,108,106,1,0
CHO,69,71,1,1
CHO,93,96,1,2
CHO,91,100,1,3
CHO,96,89,2,3
CHO,122,119,3,3
CHO,92,107,3,4
CHO,100,102,3,5
CHO,103,95,4,5
CHO,87,112,4,6
CHO,80,107,4,7
CHO,86,88,4,8
CHO,100,105,4,9
CHO,93,94,4,10
CHO,92,113,4,11
CHO,97,105,4,12
CHO,101,106,4,13
CHO,75,105,4,14
CHO,95,102,4,15
CHO,103,102,5,15
CHO,96,87,6,15
CHO,107,113,6,16
CHO,87,114,6,17
CHO,88,97,6,18
CHO,106,111,6,19
CHO,109,91,7,19
CHO,104,86,8,19
CHO,110,82,9,19
CHO,108,101,10,19
CHO,75,98,10,20
CHO,94,102,10,21
CHO,94,104,10,22
CHO,83,102,10,23
CHO,87,91,10,24
CHO,98,90,11,24
CHO,104,95,12,24
CHO,98,94,13,24
CHO,103,95,14,24
CHO,110,82,15,24
CHO,93,98,15,25
CHO,80,71,16,25
CHO,105,80,17,25
CHO,78,76,18,25
CHO,90,129,18,26
CHO,76,71,19,26
CHO,86,95,19,27
CHO,104,86,20,27
CHO,92,88,21,27
CHO,94,87,22,27
CHO,81,89,22,28
CHO,102,103,22,29
CHO,78,106,22,30
CHO,103,110,22,31
CHO,81,92,22,32
CHO,98,86,23,32
CHO,98,106,23,33
CHO,98,83,24,33
CHO,104,103,25,33
CHO,115,91,26,33
CHO,103,94,27,33
CHO,108,101,28,33
CHO,69,95,28,34
CHO,106,113,28,35
CHO,101,91,29,35
CHO,66,94,29,36
CHO,92,99,29,37
CHO,91,101,29,38
CHO,109,98,30,38
CHO,86,98,30,39
CHO,88,91,30,40
CHO,107,110,30,41
CHO,115,100,31,41
CHO,104,116,31,42
CHO,102,78,32,42
CHO,74,93,32,43
CHO,92,91,33,43
CHO,100,105,33,44
CHO,74,92,33,45
CHO,80,104,33,46
CHO,77,116,33,47
CHO,90,100,33,48
CHO,87,92,33,49
CLE,90,95,0,1
CLE,114,108,1,1
CLE,82,101,1,2
CLE,100,102,1,3
CLE,110,101,2,3
CLE,118,111,3,3
CLE,122,121,4,3
CLE,127,94,5,3
CLE,97,106,5,4
CLE,90,92,5,5
CLE,78,91,5,6
CLE,93,110,5,7
CLE,106,74,6,7
CLE,113,87,7,7
CLE,109,97,8,7
CLE,111,108,9,7
CLE,90,87,10,7
CLE,105,91,11,7
CLE,110,88,12,7
CLE,105,101,13,7
CLE,94,103,13,8
CLE,114,119,13,9
CLE,97,88,14,9
CLE,98,127,14,10
CLE,95,91,15,10
CLE,105,91,16,10
CLE,125,104,17,10
CLE,91,101,17,11
CLE,98,89,18,11
CLE,80,103,18,12
CLE,101,109,18,13
CLE,80,96,18,14
CLE,91,87,19,14
CLE,90,109,19,15
CLE,92,95,19,16
CLE,93,105,19,17
CLE,94,112,19,18
CLE,84,103,19,19
CLE,100,107,19,20
CLE,109,102,20,20
CLE,126,121,21,20
CLE,108,94,22,20
CLE,106,92,23,20
CLE,129,90,24,20
CLE,108,98,25,20
CLE,103,95,26,20
CLE,99,94,27,20
CLE,101,90,28,20
CLE,106,90,29,20
CLE,97,84,30,20
CLE,105,94,31,20
CLE,99,103,31,21
CLE,120,105,32,21
CLE,113,93,33,21
CLE,98,113,33,22
CLE,127,89,34,22
CLE,101,83,35,22
CLE,102,93,36,22
CLE,110,99,37,22
CLE,86,93,37,23
CLE,103,105,37,24
CLE,110,79,38,24
CLE,120,112,39,24
CLE,97,106,39,25
CLE,89,79,40,25
CLE,127,94,41,25
CLE,128,125,42,25
CLE,123,108,43,25
CLE,92,106,43,26
CLE,117,92,44,26
CLE,95,92,45,26
CLE,108,90,46,26
CLE,111,89,47,26
CLE,98,106,47,27
CLE,87,86,48,27
CLE,114,88,49,27
CLE,99,94,50,27
CLE,104,99,51,27
CLE,90,99,51,28
CLE,78,117,51,29
CLE,109,97,52,29
CLE,113,108,53,29
CLE,113,100,1,0
CLE,99,91,2,0
CLE,103,95,3,0
CLE,101,93,4,0
CLE,92,99,4,1
CLE,106,91,5,1
CLE,96,99,5,2
CLE,86,84,6,2
CLE,106,101,7,2
CLE,94,73,8,2
CLE,97,89,9,2
CLE,94,82,10,2
CLE,114,111,11,2
CLE,118,88,12,2
CLE,100,108,12,3
CLE,95,93,13,3
CLE,96,91,14,3
CLE,82,103,14,4
CLE,91,104,14,5
CLE,97,105,14,6
DAL,100,101,0,1
DAL,120,102,1,1
DAL,109,104,2,1
DAL,118,113,3,1
DAL,87,108,3,2
DAL,105,82,4,2
DAL,96,105,4,3
DAL,106,98,5,3
DAL,123,70,6,3
DAL,131,117,7,3
DAL,107,80,8,3
DAL,105,102,9,3
DAL,140,106,10,3
DAL,92,95,10,4
DAL,100,111,10,5
DAL,109,102,11,5
DAL,106,102,12,5
DAL,110,103,13,5
DAL,132,129,14,5
DAL,107,105,15,5
DAL,106,118,15,6
DAL,125,102,16,6
DAL,105,114,16,7
DAL,112,107,17,7
DAL,98,105,17,8
DAL,107,87,18,8
DAL,117,106,19,8
DAL,99,93,20,8
DAL,102,105,20,9
DAL,115,124,20,10
DAL,102,98,21,10
DAL,112,107,22,10
DAL,114,87,23,10
DAL,119,101,24,10
DAL,109,90,25,10
DAL,96,88,26,10
DAL,95,108,26,11
DAL,100,120,26,12
DAL,108,104,27,12
DAL,107,114,27,13
DAL,97,89,28,13
DAL,103,95,29,13
DAL,98,75,30,13
DAL,98,102,30,14
DAL,106,109,30,15
DAL,90,109,30,16
DAL,94,99,30,17
DAL,93,72,31,17
DAL,108,93,32,17
DAL,100,94,33,17
DAL,114,128,33,18
DAL,101,78,34,18
DAL,111,101,35,18
DAL,98,115,35,19
DAL,87,82,36,19
DAL,89,104,36,20
DAL,111,100,37,20
DAL,92,81,38,20
DAL,99,92,39,20
DAL,87,104,39,21
DAL,94,104,39,22
DAL,102,93,40,22
DAL,75,94,40,23
DAL,89,104,40,24
DAL,100,93,41,24
DAL,94,127,41,25
DAL,129,99,42,25
DAL,119,115,43,25
DAL,107,102,44,25
DAL,101,112,44,26
DAL,92,98,44,27
DAL,101,94,45,27
DAL,76,94,45,28
