abbr,pts,opp_pts,wins,losses
ATL,107,126,0,1
ATL,117,131,0,2
ATL,133,111,1,2
ATL,111,104,2,2
ATL,85,97,2,3
ATL,92,113,2,4
ATL,114,136,2,5
ATL,115,146,2,6
ATL,123,118,3,6
ATL,102,113,3,7
ATL,107,112,3,8
ATL,109,124,3,9
ATL,106,107,3,10
ATL,103,110,3,11
ATL,93,138,3,12
ATL,89,97,3,13
ATL,119,127,3,14
ATL,108,124,3,15
ATL,96,114,3,16
ATL,124,123,4,16
ATL,115,113,5,16
ATL,94,108,5,17
ATL,109,124,5,18
ATL,111,128,5,19
ATL,117,131,5,20
ATL,106,98,6,20
ATL,107,114,6,21
ATL,108,129,6,22
ATL,127,144,6,23
ATL,118,110,7,23
ATL,114,107,8,23
ATL,98,95,9,23
ATL,121,129,9,24
ATL,123,120,10,24
ATL,111,108,11,24
ATL,108,116,11,25
ATL,98,114,11,26
ATL,112,144,11,27
ATL,106,82,12,27
ATL,101,104,12,28
ATL,100,116,12,29
ATL,123,121,13,29
ATL,114,133,13,30
ATL,142,126,14,30
ATL,105,113,14,31
ATL,103,122,14,32
ATL,121,101,15,32
ATL,111,120,15,33
ATL,123,118,16,33
ATL,113,135,16,34
ATL,112,128,16,35
ATL,118,112,17,35
ATL,137,129,18,35
ATL,101,119,18,36
ATL,120,129,18,37
ATL,108,124,18,38
ATL,117,113,19,38
ATL,91,106,19,39
ATL,122,125,19,40
ATL,120,112,20,40
ATL,111,119,20,41
ATL,131,123,21,41
ATL,161,168,21,42
ATL,123,118,22,42
ATL,113,114,22,43
ATL,104,111,22,44
ATL,112,114,22,45
ATL,128,116,23,45
ATL,132,111,24,45
ATL,120,129,24,46
ATL,91,101,24,47
ATL,105,121,24,48
ATL,117,114,25,48
ATL,129,127,26,48
ATL,130,120,27,48
ATL,98,118,27,49
ATL,136,135,28,49
ATL,111,117,28,50
ATL,130,122,29,50
ATL,113,149,29,51
ATL,107,115,29,52
ATL,134,135,29,53
BOS,105,87,1,0
BOS,101,113,1,1
BOS,103,101,2,1
BOS,90,93,2,2
BOS,101,95,3,2
BOS,109,89,4,2
BOS,108,105,5,2
BOS,117,113,6,2
BOS,101,102,6,3
BOS,107,115,6,4
BOS,116,109,7,4
BOS,115,123,7,5
BOS,94,100,7,6
BOS,111,82,8,6
BOS,123,116,9,6
BOS,86,98,9,7
BOS,112,117,9,8
BOS,109,117,9,9
BOS,114,96,10,9
BOS,104,113,10,10
BOS,124,107,11,10
BOS,128,95,12,10
BOS,118,109,13,10
BOS,128,100,14,10
BOS,133,77,15,10
BOS,113,100,16,10
BOS,130,125,17,10
BOS,129,108,18,10
BOS,104,113,18,11
BOS,103,111,18,12
BOS,107,120,18,13
BOS,119,103,19,13
BOS,121,114,20,13
BOS,113,127,20,14
BOS,112,103,21,14
BOS,111,120,21,15
BOS,115,102,22,15
BOS,114,93,23,15
BOS,116,95,24,15
BOS,135,108,25,15
BOS,99,115,25,16
BOS,103,105,25,17
BOS,102,109,25,18
BOS,117,108,26,18
BOS,122,116,27,18
BOS,113,105,28,18
BOS,107,99,29,18
BOS,123,103,30,18
BOS,111,115,30,19
BOS,112,104,31,19
BOS,126,94,32,19
BOS,113,99,33,19
BOS,134,129,34,19
BOS,103,96,35,19
BOS,128,129,35,20
BOS,112,123,35,21
BOS,112,109,36,21
BOS,118,110,37,21
BOS,97,98,37,22
BOS,116,126,37,23
BOS,95,118,37,24
BOS,92,97,37,25
BOS,107,96,38,25
BOS,104,115,38,26
BOS,128,95,39,26
BOS,111,109,40,26
BOS,120,107,41,26
BOS,115,140,41,27
BOS,126,120,42,27
BOS,129,120,43,27
BOS,105,114,43,28
BOS,115,118,43,29
BOS,117,124,43,30
BOS,96,115,43,31
BOS,116,106,44,31
BOS,114,112,45,31
BOS,96,110,45,32
BOS,110,105,46,32
BOS,112,102,47,32
BOS,117,97,48,32
BOS,108,116,48,33
BOS,116,110,49,33
BOS,84,74,1,0
BOS,99,91,2,0
BOS,104,96,3,0
BOS,110,106,4,0
BOS,112,90,5,0
BOS,102,123,5,1
BOS,116,123,5,2
BOS,101,113,5,3
BOS,91,116,5,4
BRK,100,103,0,1
BRK,107,105,1,1
BRK,112,132,1,2
BRK,102,86,2,2
BRK,115,117,2,3
BRK,114,120,2,4
BRK,96,115,2,5
BRK,120,119,3,5
BRK,111,119,3,6
BRK,122,97,4,6
BRK,104,82,5,6
BRK,112,110,6,6
BRK,100,116,6,7
BRK,113,120,6,8
BRK,107,120,6,9
BRK,115,104,7,9
BRK,119,127,7,10
BRK,104,92,8,10
BRK,113,119,8,11
BRK,102,112,8,12
BRK,125,127,8,13
BRK,91,101,8,14
BRK,125,131,8,15
BRK,88,102,8,16
BRK,97,99,8,17
BRK,112,114,8,18
BRK,106,105,9,18
BRK,112,104,10,18
BRK,127,124,11,18
BRK,125,118,12,18
BRK,144,127,13,18
BRK,115,110,14,18
BRK,96,93,15,18
BRK,106,114,15,19
BRK,111,103,16,19
BRK,134,132,17,19
BRK,87,100,17,20
BRK,115,129,17,21
BRK,126,121,18,21
BRK,109,100,19,21
BRK,117,100,20,21
BRK,95,116,20,22
BRK,116,100,21,22
BRK,105,122,21,23
BRK,109,102,22,23
BRK,145,142,23,23
BRK,117,115,24,23
BRK,123,94,25,23
BRK,114,110,26,23
BRK,109,99,27,23
BRK,104,112,27,24
BRK,122,117,28,24
BRK,114,117,28,25
BRK,89,102,28,26
BRK,94,113,28,27
BRK,135,130,29,27
BRK,106,125,29,28
BRK,125,127,29,29
BRK,148,139,30,29
BRK,99,113,30,30
BRK,117,115,31,30
BRK,101,85,32,30
BRK,116,125,32,31
BRK,112,123,32,32
