abbr,pts,opp_pts,wins,losses
ATL,94,106,0,1
ATL,112,101,1,1
ATL,97,94,2,1
ATL,94,92,3,1
ATL,98,92,4,1
ATL,101,87,5,1
ATL,121,115,6,1
ATL,114,99,7,1
ATL,107,117,7,2
ATL,106,98,8,2
ATL,93,106,8,3
ATL,96,97,8,4
ATL,88,90,8,5
ATL,103,97,9,5
ATL,97,109,9,6
ATL,121,97,10,6
ATL,95,99,10,7
ATL,116,101,11,7
ATL,88,108,11,8
ATL,106,100,12,8
ATL,86,96,12,9
ATL,100,87,13,9
ATL,98,95,14,9
ATL,94,107,14,10
ATL,78,103,14,11
ATL,88,100,14,12
ATL,127,106,15,12
ATL,109,101,16,12
ATL,103,100,17,12
ATL,106,97,18,12
ATL,107,100,19,12
ATL,117,98,20,12
ATL,87,93,20,13
ATL,121,115,21,13
ATL,97,111,21,14
ATL,101,107,21,15
ATL,126,98,22,15
ATL,120,105,23,15
ATL,84,107,23,16
ATL,101,108,23,17
ATL,114,86,24,17
ATL,98,81,25,17
ATL,104,98,26,17
ATL,88,91,26,18
ATL,95,98,26,19
ATL,119,105,27,19
ATL,83,85,27,20
ATL,92,111,27,21
ATL,87,105,27,22
ATL,112,97,28,22
ATL,124,86,29,22
ATL,102,96,30,22
ATL,94,96,30,23
ATL,110,117,30,24
ATL,113,90,31,24
ATL,111,115,31,25
ATL,109,117,31,26
ATL,92,102,31,27
ATL,103,88,32,27
ATL,87,76,33,27
ATL,105,109,33,28
ATL,106,77,34,28
ATL,107,97,35,28
ATL,91,84,36,28
ATL,96,104,36,29
ATL,95,83,37,29
ATL,104,75,38,29
ATL,118,114,39,29
ATL,116,98,40,29
ATL,109,97,41,29
ATL,102,117,41,30
ATL,122,101,42,30
ATL,101,90,43,30
ATL,112,95,44,30
ATL,102,100,45,30
ATL,97,105,45,31
ATL,108,110,45,32
ATL,103,90,46,32
ATL,95,87,47,32
ATL,118,107,48,32
ATL,94,109,48,33
ATL,98,109,48,34
ATL,102,101,1,0
ATL,89,72,2,0
ATL,103,111,2,1
ATL,95,104,2,2
ATL,110,83,3,2
ATL,104,92,4,2
ATL,93,104,4,3
ATL,98,123,4,4
ATL,108,121,4,5
ATL,99,100,4,6
BOS,112,95,1,0
BOS,103,113,1,1
BOS,87,95,1,2
BOS,98,100,1,3
BOS,118,98,2,3
BOS,99,83,3,3
BOS,91,102,3,4
BOS,106,93,4,4
BOS,100,85,5,4
BOS,111,95,6,4
BOS,102,106,6,5
BOS,120,95,7,5
BOS,101,111,7,6
BOS,97,121,7,7
BOS,84,80,8,7
BOS,111,78,9,7
BOS,91,110,9,8
BOS,105,95,10,8
BOS,114,97,11,8
BOS,105,108,11,9
BOS,111,93,12,9
BOS,105,100,13,9
BOS,119,124,13,10
BOS,98,93,14,10
BOS,77,89,14,11
BOS,116,119,14,12
BOS,101,109,14,13
BOS,113,99,15,13
BOS,102,89,16,13
BOS,99,93,17,13
BOS,100,91,18,13
BOS,104,112,18,14
BOS,97,100,18,15
BOS,103,94,19,15
BOS,94,99,19,16
BOS,92,101,19,17
BOS,98,101,19,18
BOS,114,120,19,19
BOS,103,94,20,19
BOS,117,103,21,19
BOS,119,117,22,19
BOS,113,118,22,20
BOS,109,115,22,21
BOS,110,101,23,21
BOS,112,92,24,21
BOS,116,91,25,21
BOS,111,103,26,21
BOS,113,94,27,21
BOS,114,119,27,22
BOS,97,89,28,22
BOS,102,95,29,22
BOS,104,103,30,22
BOS,128,119,31,22
BOS,111,112,31,23
BOS,139,134,32,23
BOS,93,111,32,24
BOS,121,101,33,24
BOS,122,124,33,25
BOS,112,107,34,25
BOS,101,89,35,25
BOS,100,95,36,25
BOS,116,93,37,25
BOS,105,104,38,25
BOS,103,120,38,26
BOS,116,96,39,26
BOS,98,102,39,27
BOS,98,103,39,28
BOS,109,130,39,29
BOS,91,105,39,30
BOS,120,105,40,30
BOS,107,96,41,30
BOS,91,79,42,30
BOS,102,99,43,30
BOS,90,114,43,31
BOS,109,116,43,32
BOS,109,106,44,32
BOS,107,100,45,32
BOS,104,97,46,32
BOS,124,109,47,32
BOS,107,118,47,33
BOS,100,114,47,34
BOS,98,88,48,34
BOS,101,102,0,1
BOS,72,89,0,2
BOS,111,103,1,2
BOS,104,95,2,2
BOS,83,110,2,3
BOS,92,104,2,4
BRK,100,115,0,1
BRK,75,102,0,2
BRK,91,101,0,3
BRK,96,103,0,4
BRK,87,101,0,5
BRK,98,104,0,6
BRK,86,94,0,7
BRK,106,98,1,7
BRK,109,111,1,8
BRK,99,107,1,9
BRK,90,88,2,9
BRK,111,116,2,10
BRK,95,120,2,11
BRK,111,101,3,11
BRK,99,110,3,12
BRK,88,90,3,13
BRK,87,83,4,13
BRK,94,91,5,13
BRK,91,108,5,14
BRK,98,114,5,15
BRK,110,105,6,15
BRK,100,91,7,15
BRK,100,105,7,16
BRK,82,105,7,17
BRK,98,104,7,18
BRK,97,104,7,19
BRK,85,100,7,20
BRK,105,102,8,20
BRK,118,119,8,21
BRK,96,111,8,22
BRK,111,105,9,22
BRK,93,100,9,23
BRK,100,97,10,23
BRK,94,103,10,24
BRK,74,91,10,25
BRK,77,83,10,26
BRK,89,103,10,27
BRK,79,106,10,28
BRK,110,104,11,28
BRK,104,116,11,29
BRK,86,114,11,30
BRK,100,112,11,31
BRK,78,91,11,32
BRK,86,108,11,33
BRK,116,106,12,33
BRK,98,102,12,34
BRK,79,91,12,35
BRK,103,105,12,36
BRK,100,105,12,37
BRK,100,114,12,38
BRK,128,119,13,38
BRK,98,103,13,39
BRK,105,104,14,39
BRK,90,109,14,40
BRK,109,98,15,40
BRK,96,104,15,41
BRK,104,112,15,42
BRK,116,106,16,42
BRK,98,96,17,42
BRK,95,105,17,43
BRK,101,107,17,44
BRK,121,120,18,44
BRK,118,132,18,45
BRK,99,104,18,46
BRK,89,95,18,47
BRK,100,109,18,48
BRK,131,114,19,48
BRK,102,118,19,49
BRK,103,115,19,50
BRK,100,105,19,51
BRK,104,95,20,51
BRK,120,110,21,51
BRK,99,110,21,52
BRK,105,139,21,53
BRK,87,107,21,54
BRK,91,105,21,55
BRK,87,106,21,56
BRK,103,121,21,57
BRK,99,113,21,58
BRK,105,129,21,59
BRK,111,120,21,60
BRK,96,103,21,61
CHI,97,95,1,0
CHI,115,100,2,0
CHI,94,98,2,1
CHI,92,87,3,1
CHI,105,130,3,2
CHI,104,98,4,2
CHI,93,102,4,3
CHI,111,88,5,3
CHI,102,97,6,3
CHI,96,95,7,3
CHI,103,97,8,3
CHI,94,106,8,4
CHI,93,88,9,4
CHI,92,104,9,5
CHI,92,89,10,5
CHI,99,90,11,5
CHI,96,102,11,6
CHI,101,103,11,7
CHI,100,105,11,8
CHI,83,80,12,8
CHI,98,94,13,8
CHI,115,96,14,8
CHI,98,85,15,8
CHI,144,147,15,9
CHI,91,107,15,10
CHI,102,105,15,11
CHI,105,96,16,11
CHI,111,118,16,12
CHI,104,97,17,12
CHI,102,100,18,12
CHI,108,81,19,12
CHI,115,113,20,12
CHI,117,106,21,12
CHI,101,92,22,12
CHI,105,120,22,13
CHI,100,114,22,14
CHI,101,106,22,15
CHI,115,111,23,15
CHI,77,83,23,16
CHI,111,101,24,16
CHI,94,125,24,17
CHI,101,110,24,18
CHI,96,83,25,18
CHI,84,89,25,19
CHI,114,91,26,19
CHI,93,120,26,20
CHI,96,105,26,21
CHI,107,102,27,21
CHI,110,115,27,22
CHI,105,112,27,23
CHI,91,108,27,24
CHI,90,113,27,25
CHI,95,106,27,26
CHI,116,106,28,26
CHI,126,115,29,26
CHI,109,104,30,26
CHI,88,103,30,27
CHI,95,103,30,28
CHI,111,129,30,29
CHI,89,102,30,30
CHI,108,100,31,30
CHI,100,90,32,30
CHI,101,109,32,31
CHI,96,118,32,32
CHI,109,107,33,32
CHI,96,117,33,33
CHI,118,102,34,33
CHI,92,85,35,33
CHI,109,102,36,33
CHI,107,115,36,34
CHI,94,106,36,35
CHI,89,111,36,36
CHI,100,102,36,37
CHI,98,96,37,37
CHI,103,100,38,37
CHI,90,94,38,38
CHI,102,98,39,38
CHI,92,108,39,39
CHI,98,106,39,40
CHI,105,102,40,40
CHI,121,116,41,40
CHI,115,105,42,40
CHO,94,104,0,1
CHO,94,97,0,2
CHO,92,94,0,3
CHO,130,105,1,3
CHO,108,94,2,3
CHO,94,114,2,4
CHO,104,95,3,4
CHO,95,93,4,4
CHO,97,102,4,5
CHO,106,94,5,5
CHO,94,102,5,6
CHO,116,111,6,6
CHO,113,88,7,6
CHO,127,122,8,6
CHO,101,87,9,6
CHO,90,95,9,7
CHO,87,82,10,7
CHO,99,116,10,8
CHO,102,96,11,8
CHO,104,84,12,8
CHO,99,81,13,8
CHO,123,99,14,8
CHO,93,98,14,9
CHO,98,113,14,10
CHO,109,99,15,10
CHO,101,109,15,11
CHO,95,102,15,12
CHO,89,102,15,13
CHO,98,92,16,13
CHO,108,98,17,13
CHO,117,122,17,14
CHO,94,104,17,15
CHO,90,109,17,16
CHO,101,111,17,17
CHO,102,111,17,18
CHO,83,97,17,19
CHO,92,95,17,20
CHO,107,84,18,20
CHO,107,109,18,21
CHO,92,105,18,22
CHO,124,119,19,22
CHO,95,109,19,23
CHO,120,116,20,23
CHO,97,84,21,23
CHO,129,128,22,23
CHO,73,102,22,24
CHO,91,109,22,25
CHO,101,82,23,25
CHO,106,97,24,25
CHO,95,98,24,26
CHO,108,104,25,26
CHO,108,91,26,26
CHO,117,95,27,26
CHO,98,95,28,26
CHO,104,96,29,26
CHO,103,114,29,27
CHO,96,95,30,27
CHO,76,87,30,28
CHO,126,92,31,28
CHO,119,99,32,28
CHO,108,101,33,28
CHO,108,103,34,28
CHO,122,113,35,28
